instrument,datetime,$open,$close,$high,$low,$volume,$factor,计算除权价,计算前复权价,计算后复权价,前复权价_方法1,前复权价_方法2
SH600519,2024-01-04,224.43912,221.25746,224.43912,220.45277,162565.08,0.13256888,1669.0,1703.495,1669.0,1703.495,1669.0
SH600519,2024-01-05,220.24075,220.50987,222.53818,219.01846,152696.86,0.13256894,1663.36,1697.7375,1663.3593,1697.7375,1663.3607
SH600519,2024-01-08,220.19696,217.94196,220.32953,217.41434,193001.52,0.13256891,1643.99,1677.9677,1643.9896,1677.9677,1643.9904
SH600519,2024-01-09,217.54697,217.54564,219.04633,216.7595,184146.0,0.13256894,1641.0,1674.9154,1640.9993,1674.9154,1641.0007
SH600519,2024-01-10,217.55891,217.61194,219.99289,217.14795,130880.336,0.13256896,1641.5,1675.4255,1641.4991,1675.4255,1641.501
SH600519,2024-01-11,217.42624,218.28395,219.79126,217.15579,124015.15,0.1325689,1646.5698,1680.601,1646.5696,1680.601,1646.5701
SH600519,2024-01-12,217.40898,217.81863,218.90569,217.33342,87526.125,0.13256888,1643.06,1677.0189,1643.06,1677.0189,1643.06
SH600519,2024-01-15,216.75018,217.41302,219.39758,216.67726,134677.34,0.13256891,1640.0001,1673.8953,1639.9998,1673.8953,1640.0005
SH600519,2024-01-16,217.21416,217.33743,218.34099,215.41652,195393.78,0.13256891,1639.4299,1673.3134,1639.4296,1673.3134,1639.4303
SH600519,2024-01-17,216.0874,209.06125,216.81387,209.06125,389478.5,0.13256896,1577.0,1609.5925,1576.9991,1609.5925,1577.001
SH600519,2024-01-18,208.66356,213.55138,213.80724,206.21767,455912.2,0.13256897,1610.87,1644.1624,1610.8689,1644.1624,1610.8711
SH600519,2024-01-19,213.2861,216.75012,217.14915,212.22688,349844.0,0.13256888,1635.0,1668.7922,1635.0,1668.7922,1635.0
SH600519,2024-01-22,215.95485,217.67825,217.81082,214.61325,354124.28,0.13256897,1642.0,1675.9358,1641.9989,1675.9358,1642.0012
SH600519,2024-01-23,216.35388,214.62915,217.40648,213.30347,262768.12,0.13256897,1618.9999,1652.4602,1618.9988,1652.4602,1619.001
SH600519,2024-01-24,215.95482,215.55711,216.59645,212.58226,250559.05,0.13256896,1626.0,1659.6052,1625.9991,1659.6052,1626.001
SH600519,2024-01-25,215.66585,217.14796,217.54567,215.02687,235392.95,0.13256897,1637.9999,1671.8529,1637.9988,1671.8529,1638.0011
SH600519,2024-01-26,216.13503,217.05771,217.95651,215.15932,203326.36,0.1325689,1637.3201,1671.16,1637.3198,1671.16,1637.3203
SH600519,2024-01-29,217.45273,218.73865,220.14124,217.45142,237014.0,0.13256888,1650.0,1684.1023,1650.0,1684.1023,1650.0
SH600519,2024-01-30,218.73604,213.83365,218.73604,213.43593,232832.36,0.13256891,1613.0,1646.3372,1612.9996,1646.3372,1613.0004
SH600519,2024-01-31,213.83374,212.76126,214.75775,211.86244,223650.53,0.13256897,1604.9099,1638.0791,1604.9088,1638.0791,1604.911
SH600519,2024-02-01,212.83948,213.44002,215.27742,212.24292,199783.94,0.13256897,1610.03,1643.305,1610.0289,1643.305,1610.0311
SH600519,2024-02-02,214.09886,211.58006,215.7931,209.59152,297068.2,0.13256896,1596.0001,1628.9854,1595.9993,1628.9854,1596.0011
SH600519,2024-02-05,211.58008,216.08875,217.07373,211.48065,400775.25,0.13256897,1630.01,1663.698,1630.0089,1663.698,1630.0112
SH600519,2024-02-06,216.08875,222.1856,223.44235,215.5704,395809.38,0.13256897,1676.0,1710.6384,1675.9989,1710.6384,1676.0012
SH600519,2024-02-07,222.85226,226.82402,227.30127,220.27777,396782.94,0.13256888,1710.99,1746.3528,1710.99,1746.3528,1710.99
SH600519,2024-02-08,228.01994,226.16264,228.68146,223.3787,352696.0,0.13256896,1706.0,1741.2587,1705.9991,1741.2587,1706.001
SH600519,2024-02-19,230.38748,224.76126,230.39545,223.77628,278930.0,0.13256888,1695.43,1730.4713,1695.43,1730.4713,1695.43
SH600519,2024-02-20,225.01717,221.39008,225.01717,219.60835,260016.25,0.13256891,1670.0,1704.5153,1669.9996,1704.5153,1670.0004
SH600519,2024-02-21,220.86243,227.70828,229.47675,220.3295,348151.6,0.1325689,1717.6599,1753.1604,1717.6597,1753.1604,1717.6602
SH600519,2024-02-22,226.36143,227.80377,228.41757,225.43742,171937.81,0.13256893,1718.3799,1753.8948,1718.3793,1753.8948,1718.3805
SH600519,2024-02-23,226.83997,227.23503,228.59917,225.36978,205975.08,0.1325689,1714.0901,1749.5167,1714.0898,1749.5167,1714.0903
SH600519,2024-02-26,226.42775,224.7017,226.52585,223.38132,206068.78,0.13256894,1694.98,1730.0111,1694.9791,1730.0111,1694.9808
SH600519,2024-02-27,223.1135,223.9752,224.42859,222.45065,166553.73,0.13256893,1689.5,1724.4181,1689.4994,1724.4181,1689.5006
SH600519,2024-02-28,223.89824,222.9212,224.9124,221.92165,240383.03,0.13256888,1681.55,1716.3043,1681.55,1716.3043,1681.55
SH600519,2024-02-29,222.92136,224.7044,224.90326,222.60982,186758.11,0.13256897,1695.0,1730.0311,1694.9989,1730.0311,1695.0012
SH600519,2024-03-01,224.04143,223.38654,224.70029,222.2756,202671.69,0.1325689,1685.0599,1719.8866,1685.0597,1719.8866,1685.0602
SH600519,2024-03-04,222.58318,222.22523,222.84698,221.39668,199781.17,0.1325689,1676.2999,1710.9456,1676.2997,1710.9456,1676.3002
SH600519,2024-03-05,221.49747,224.71756,224.96945,220.94995,273354.97,0.13256891,1695.1,1730.1339,1695.0996,1730.1339,1695.1003
SH600519,2024-03-06,224.1741,222.78876,224.70439,222.45337,167026.12,0.13256896,1680.55,1715.2827,1680.5492,1715.2827,1680.551
SH600519,2024-03-07,222.71584,223.19707,224.01501,222.4507,162927.44,0.13256896,1683.63,1718.4263,1683.6292,1718.4263,1683.631
SH600519,2024-03-08,222.79007,221.57973,223.6014,221.39677,167129.86,0.13256896,1671.4299,1705.9741,1671.4291,1705.9741,1671.4309
SH600519,2024-03-11,222.05298,224.63675,225.21872,221.8117,225505.98,0.13256894,1694.49,1729.511,1694.4891,1729.511,1694.4908
SH600519,2024-03-12,224.56375,231.33272,231.87625,224.10771,409044.22,0.1325689,1745.0,1781.0656,1744.9998,1781.0656,1745.0002
SH600519,2024-03-13,230.666,229.00624,231.73053,228.03186,199892.5,0.13256896,1727.45,1763.1519,1727.449,1763.1519,1727.4509
